snapshot,codigo_postal,cantidad
2026-07,0000,1
2026-07,1001,4
2026-07,1002,3
2026-07,1003,6
2026-07,1004,4
2026-07,1005,3
2026-07,1006,9
2026-07,1007,12
2026-07,1008,6
2026-07,1009,9
2026-07,1010,3
2026-07,1011,1
2026-07,1012,5
2026-07,1013,6
2026-07,1014,4
2026-07,1015,11
2026-07,1016,2
2026-07,1017,19
2026-07,1018,2
2026-07,1019,11
2026-07,1020,12
2026-07,1021,5
2026-07,1022,10
2026-07,1023,3
2026-07,1024,4
2026-07,1025,3
2026-07,1026,10
2026-07,1027,4
2026-07,1028,4
2026-07,1029,3
2026-07,1030,3
2026-07,1031,4
2026-07,1032,5
2026-07,1033,6
2026-07,1034,3
2026-07,1035,4
2026-07,1036,2
2026-07,1037,5
2026-07,1038,2
2026-07,1039,4
2026-07,1040,7
2026-07,1041,4
2026-07,1042,8
2026-07,1043,15
2026-07,1044,1
2026-07,1045,5
2026-07,1046,3
2026-07,1047,1
2026-07,1048,26
2026-07,1049,10
2026-07,1050,16
2026-07,1051,3
2026-07,1052,2
2026-07,1053,3
2026-07,1054,2
2026-07,1055,17
2026-07,1056,10
2026-07,1057,7
2026-07,1058,5
2026-07,1059,3
2026-07,1060,6
2026-07,1061,3
2026-07,1062,3
2026-07,1063,2
2026-07,1064,2
2026-07,1065,3
2026-07,1066,5
2026-07,1067,2
2026-07,1069,6
2026-07,1070,9
2026-07,1071,4
2026-07,1072,6
2026-07,1073,6
2026-07,1074,4
2026-07,1075,6
2026-07,1076,8
2026-07,1077,5
2026-07,1078,3
2026-07,1079,1
2026-07,1080,1
2026-07,1081,5
2026-07,1082,5
2026-07,1083,2
2026-07,1084,7
2026-07,1085,1
2026-07,1086,4
2026-07,1088,11
2026-07,1089,5
2026-07,1090,9
2026-07,1091,1
2026-07,1092,2
2026-07,1093,9
2026-07,1094,7
2026-07,1095,2
2026-07,1096,10
2026-07,1097,4
2026-07,1098,6
2026-07,1099,1
2026-07,1100,3
2026-07,1101,2
2026-07,1102,3
2026-07,1103,6
2026-07,1104,56
2026-07,1106,1
2026-07,1107,16
2026-07,1110,5
2026-07,1111,3
2026-07,1112,1
2026-07,1113,7
